,Unnamed: 0,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
143,8,5,6,1,max,Blacks,0.0784875107610369,0.0004930416242111,0.0248921773341267,102400,0.0005,4096,4096,4095,1.13.20
144,0,5,20,1,max,Plurality,0.0327169888783628,0.0003789068917886,0.0088208238112715,61440,0.0005,4096,4096,4095,1.13.20
145,1,5,20,1,max,Borda,0.0410510167425012,0.0004887860787185,0.0146785039693905,61440,0.0005,4096,4096,4095,1.13.20
146,2,5,20,1,max,Instant Runoff,0.0225742153836514,0.0004049279952409,0.0100739489342263,61440,0.0005,4096,4096,4095,1.13.20
147,3,5,20,1,max,Instant Runoff PUT,0.0207400908953865,0.0003340570314578,0.0068562299262675,61440,0.0005,4096,4096,4095,1.13.20
148,4,5,20,1,max,Minimax,0.0099949312311623,0.0002043626702829,0.002565944601658,61440,0.0005,4096,4096,4095,1.13.20
149,5,5,20,1,max,Stable Voting,0.0210314197110238,0.0004055626078313,0.0101055499328054,61440,0.0005,4096,4096,4095,1.13.20
150,6,5,20,1,max,Split Cycle,0.0107722498420508,0.0002140290891705,0.0028144254216751,61440,0.0005,4096,4096,4095,1.13.20
151,7,5,20,1,max,Strict Nanson,0.0136702603374888,0.0002871370115012,0.0050655019900267,61440,0.0005,4096,4096,4095,1.13.20
152,8,5,20,1,max,Blacks,0.0327095936122953,0.0004509453515523,0.0124937257160133,61440,0.0005,4096,4096,4095,1.13.20
153,0,5,5,1,max,Plurality,0.0501131999222811,0.0003399525433318,0.0132541164475194,114688,0.0005,4096,4096,4095,1.13.20
154,1,5,5,1,max,Borda,0.0877913818667919,0.0004812603170485,0.0265628272708158,114688,0.0005,4096,4096,4095,1.13.20
155,2,5,5,1,max,Instant Runoff,0.0549640166415321,0.0004995301026488,0.0286178842057839,114688,0.0005,4096,4096,4095,1.13.20
156,3,5,5,1,max,Instant Runoff PUT,0.0386008248691469,0.0003457243265048,0.0137079992207713,114688,0.0005,4096,4096,4095,1.13.20
157,4,5,5,1,max,Minimax,0.0226529139509578,0.0002055719007227,0.0048466504127834,114688,0.0005,4096,4096,4095,1.13.20
158,5,5,5,1,max,Stable Voting,0.0467104719497782,0.0004049733265539,0.0188090573876194,114688,0.0005,4096,4096,4095,1.13.20
159,6,5,5,1,max,Split Cycle,0.022221896073289,0.0002004299582981,0.0046072254524507,114688,0.0005,4096,4096,4095,1.13.20
160,7,5,5,1,max,Strict Nanson,0.0419366477473284,0.000402050391056,0.0185385247152478,114688,0.0005,4096,4096,4095,1.13.20
161,8,5,5,1,max,Blacks,0.0514413772757039,0.0004207448594842,0.0203026080178669,114688,0.0005,4096,4096,4095,1.13.20
162,0,4,21,1,max,Plurality,0.025105743009783,0.0003825814123783,0.0071941599668753,49152,0.0005,4096,4096,4095,1.13.20
163,1,4,21,1,max,Borda,0.0328483608656196,0.0004751908181652,0.0110986061231234,49152,0.0005,4096,4096,4095,1.13.20
