,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
190,Stable Voting,"(256, 256)",optimize,0.0004934639569875,1,-0.014843029,6,10,"(2, 512)"
112,Minimax,"(256, 256)",optimize,0.0004677580802577,1,-0.00917797,6,10,"(2, 512)"
34,Borda,"(256, 256)",optimize,0.0004973062564705,1,0.0012588308,6,10,"(2, 512)"
60,Instant Runoff,"(256, 256)",optimize,0.000488750095909,1,-0.0088786585,6,10,"(2, 512)"
164,Split Cycle,"(256, 256)",optimize,0.0004944373979707,1,-0.010625856,6,10,"(2, 512)"
216,Strict Nanson,"(256, 256)",optimize,0.0004942428729103,1,-0.009889179,6,10,"(2, 512)"
86,Instant Runoff PUT,"(256, 256)",optimize,0.0004777134662911,1,-0.008514266,6,10,"(2, 512)"
138,Plurality,"(256, 256)",optimize,0.0004836221135853,1,0.050837185,6,10,"(2, 512)"
232,Strict Nanson,"(8, 8, 8)",optimize,0.0004887416148661,1,-0.04251761,6,10,"(3, 24)"
76,Instant Runoff,"(8, 8, 8)",optimize,0.0004988339020584,1,-0.039787747,6,10,"(3, 24)"
24,Blacks,"(8, 8, 8)",optimize,0.0004964223563135,1,-0.039291713,6,10,"(3, 24)"
206,Stable Voting,"(8, 8, 8)",optimize,0.0004919591509755,1,-0.0195249,6,10,"(3, 24)"
50,Borda,"(8, 8, 8)",optimize,0.0004933932297326,1,-0.031232167,6,10,"(3, 24)"
128,Minimax,"(8, 8, 8)",optimize,0.0004975797596787,1,-0.022812622,6,10,"(3, 24)"
180,Split Cycle,"(8, 8, 8)",optimize,0.0004989885544744,1,-0.023315607,6,10,"(3, 24)"
154,Plurality,"(8, 8, 8)",optimize,0.000480597916758,1,0.027108328,6,10,"(3, 24)"
102,Instant Runoff PUT,"(8, 8, 8)",optimize,0.0004867952394487,1,-0.03390982,6,10,"(3, 24)"
219,Strict Nanson,"(32, 16, 8)",optimize,0.0004879698019341,1,-0.013966979,6,10,"(3, 56)"
37,Borda,"(32, 16, 8)",optimize,0.000496894273121,1,-0.0063529694,6,10,"(3, 56)"
